genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin
Haloarchaeobius baliensis,1670458,2b_61_3,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,,67.2,,LC061269,57.6,20.0,43.0,42.0,44.0,48.0,28.0
Paenibacillus turicensis,160487,MOL722,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,,,AF378694,53.7,15.0,39.5,37.0,42.0,48.0,33.0
Halobium palmae,1776492,2a_47_2,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halobium,,67.0,,LC109314,58.9,20.0,39.5,38.0,41.0,48.0,28.0
Cuniculiplasma divulgatum,1673428,S-5,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Cuniculiplasmataceae,Cuniculiplasma,GCA_900090055.1,37.2,1.9,KT005320,53.8,10.0,38.5,37.0,40.0,48.0,38.0
Bacillus koreensis,284581,BR030,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,36.0,,AY667496,53.9,15.0,37.5,35.0,40.0,48.0,33.0
Tellurirhabdus rosea,2674997,U15,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Tellurirhabdus,,54.3,,MF417834,56.9,10.0,35.0,30.0,40.0,48.0,38.0
Desulfocucumis palustris,1898651,NAW-5,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfocucumis,,46.6,,LC183909,55.5,18.0,34.5,32.0,37.0,48.0,30.0
Terribacillus aidingensis,586416,YI7-61,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Terribacillus,,45.0,,FJ386524,54.9,4.0,33.5,30.0,37.0,48.0,44.0
Salinimicrobium xinjiangense,438596,BH206,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salinimicrobium,,42.1,,EF520007,51.7,10.0,33.5,32.0,35.0,48.0,38.0
Marinobacter pelagius,379482,HS225,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,59.0,,DQ458821,55.4,4.0,27.5,25.0,30.0,48.0,44.0
Methanoculleus marisnigri,2198,JR1,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,GCA_000015825.1,62.1,2.5,M59134,54.7,15.0,22.5,20.0,25.0,48.0,33.0
Alkalibacterium pelagium,426702,T143-1-1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Alkalibacterium,,42.2,,AB294166,53.2,10.0,37.0,,,47.5,37.5
Paraliobacillus ryukyuensis,200904,O15-7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Paraliobacillus,,35.6,,AB087828,54.9,10.0,38.5,37.0,40.0,47.5,37.5
Desulfovibrio alkalitolerans,293256,RT2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfohalovibrio,,64.7,,AY649785,57.2,16.0,43.0,,,47.0,31.0
Halococcus agarilyticus,1232219,62E,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,,63.0,,AB748562,59.9,22.0,42.0,,,47.0,25.0
Nitrososphaera viennensis,1034015,EN76,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,GCA_000698785.1,52.7,2.5,FR773157,57.7,28.0,42.0,,,47.0,19.0
Methylocaldum tepidum,73781,LK6,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,,59.0,,U89297,55.8,30.0,42.0,,,47.0,17.0
Anaerotignum lactatifermentans,160404,G17,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,,44.6,,AY033434,52.3,30.0,41.0,,,47.0,17.0
Halalkalicoccus tibetensis,175632,DS12,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,,61.5,,AF435112,58.8,23.0,40.0,,,47.0,24.0
Saccharedens versatilis,1680761,CAG32,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Saccharedens,,59.2,,KT258895,56.0,23.0,40.0,,,47.0,24.0
Thalassobacillus hwangdonensis,546108,AD-1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Thalassobacillus,,45.2,,EU817571,56.2,15.0,40.0,,,47.0,32.0
Amphibacillus cookii,767787,JW/BP-GSL-QD,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Amphibacillus,,35.4,,HM057160,54.1,15.0,39.0,,,47.0,32.5
Methanococcus maripaludis,39152,JJ,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,GCA_000017225.1,33.3,1.8,U38484,54.8,18.0,38.0,,,47.0,29.0
Acidiferrobacter thiooxydans,163359,m-1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Acidiferrobacter,,,,AF387301,55.2,21.0,38.0,,,47.0,26.0
Bacillus piscicola,1632684,NR1-3-2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,44.2,,LC036257,56.6,21.0,38.0,,,47.0,26.0
Phenylobacterium zucineum,284016,HLK1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,GCA_000017265.1,,4.4,AY628697,56.5,25.0,37.0,,,47.0,22.0
Clostridium roseum,84029,ATCC 17797,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,,,Y18170,52.0,20.0,37.0,,,47.0,27.0
Clostridium amazonense,1648214,NE08V,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,31.6,,KP281434,52.6,30.0,37.0,,,47.0,17.0
Bacillus onubensis,1571209,0911MAR22V3,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,38.0,,LN650668,54.4,10.0,37.0,,,47.0,37.0
Mobilitalea sibirica,1462919,P3M-3 ,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mobilitalea,,33.4,,KF931641,52.7,25.0,37.0,,,47.0,22.0
Salinivibrio siamensis,414286,ND1-1,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Salinivibrio,,49.0,,AB285018,53.9,10.0,37.0,,,47.0,37.0
Caenispirillum bisanense,414052,K92,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Caenispirillum,,70.0,,EF100694,57.7,15.0,37.0,,,47.0,32.0
Desulfovermiculus halophilus,339722,11月6日,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfovermiculus,,55.2,,DQ139408,57.5,25.0,37.0,,,47.0,22.0
Clostridium lundense,319475,R1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,31.2,,AY858804,53.1,25.0,37.0,,,47.0,22.0
Paenibacillus woosongensis,307580,YB-45,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,51.7,,AY847463,54.7,28.0,37.0,,,47.0,19.0
Tindallia magadiensis,69895, Z-7934,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Tindallia,,37.6,,Y15626,54.7,19.0,37.0,,,47.0,28.0
Lactobacillus bombi,1303590,BTLCH M1/2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,GCA_003522965.1,34.7,1.8,KJ078643,52.3,20.0,37.0,,,47.0,27.0
Methylocaldum marinum,1432792,S8,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,GCA_003584645.1,58.7,6.1,AB894129,55.7,20.0,36.0,,,47.0,27.0
Thioclava pacifica,285109,TL2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thioclava,,63.1,,AY656719,55.1,15.0,35.0,,,47.0,32.0
Halomonas koreensis,245385,SS20,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,70.0,,AY382579,56.5,10.0,35.0,,,47.0,37.0
Alkaliphilus namsaraevii,1454184,Х-07-2,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,,32.6,,KJ196388,54.0,25.0,30.0,,,47.0,22.0
Halobacillus profundi,291742,IS-Hb4,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,43.3,,AB189298,55.6,9.0,25.0,,,47.0,38.0
Halanaerocella petrolearia,644790,S200,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halanaerocella,,32.7,,FJ931099,50.8,25.0,42.5,40.0,45.0,47.0,22.0
Aridibacter kavangonensis,1384639,Ac_23_E3,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Aridibacter,,52.6,,KF245633,50.5,12.0,40.0,36.0,44.0,47.0,35.0
Anaerostipes butyraticus,645466,Jul-35,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,44.0,,FJ947528,54.0,35.0,39.0,37.0,41.0,47.0,12.0
Acetohalobium arabaticum,28187,Z-7288,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,GCA_000144695.1,36.6,2.5,L37422,53.2,30.0,39.0,38.0,40.0,47.0,17.0
Syntrophomonas erecta,264446,GB4-38,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,,69.0,,AY536889,54.9,25.0,38.5,37.0,40.0,47.0,22.0
Halanaerobium saccharolyticum,43595,Z-7787,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,,31.7,,L37424,51.1,15.0,38.5,37.0,40.0,47.0,32.0
Sulfobacillus benefaciens,453960, BRGM2,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Sulfobacillus,,50.6,,EF679212,63.0,30.0,38.5,38.0,39.0,47.0,17.0
Exiguobacterium aestuarii,273527,TF-16,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,,48.6,,AY594264,56.8,10.0,33.5,30.0,37.0,47.0,37.0
Bacillus marisflavi,189381,TF-11,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,49.0,,AF483624,54.8,10.0,33.5,30.0,37.0,47.0,37.0
Spirochaeta africana,46355,Z-7692 ,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,GCA_000242595.3,57.8,3.3,X93928,56.6,15.0,33.5,30.0,37.0,47.0,32.0
Bacillus kribbensis,356658,BT080,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,43.3,,DQ280367,55.2,13.0,31.5,30.0,33.0,47.0,34.0
Bacillus polygoni,425933,YN-1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,42.9,,AB292819,56.3,5.0,30.0,29.0,31.0,47.0,42.0
Desulfotomaculum arcticum,341036,15,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfallas,,48.9,,DQ148942,55.5,26.0,44.0,,,46.5,20.5
Cellulosilyticum ruminicola,425254,H1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,,33.7,,EF382648,52.6,15.0,40.0,,,46.5,31.5
Thalassospira povalilytica,732237,Zumi 95,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,,55.1,,AB548215,55.2,8.0,43.0,,,46.0,38.0
Ferroplasma acidarmanus,97393,fer1,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,GCA_000152265.2,36.5,1.9,NR_103941,51.2,23.0,42.0,,,46.0,23.0
Rhodoplanes azumiensis,1897628,TUT3581,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,,70.4,,LC178580,57.8,25.0,40.0,,,46.0,21.0
Bifidobacterium myosotis,1630166,MRM_5.9 ,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,65.1,,KP718941,59.5,25.0,40.0,,,46.0,21.0
Rhodoplanes tepidamans,200616,TUT3520,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,,68.9,,AB087718,58.0,25.0,40.0,,,46.0,21.0
Selenomonas bovis,416586,WG,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,,63.9,,EF139191,55.0,27.0,39.0,,,46.0,19.0
Anaeromusa acidaminophila,81464,DKglu16,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaeromusa,,48.0,,AF071415,54.4,25.0,38.0,,,46.0,21.0
Natronolimnobius baerhuensis,253108,IHC-005 ,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronolimnobius,,59.5,,AB125107,57.9,30.0,37.0,,,46.0,16.0
Pseudoscardovia radai,987066,DPVI/TET3,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Pseudoscardovia,,37.0,,HQ842704,62.9,5.0,37.0,,,46.0,41.0
Tropicimonas isoalkanivorans,441112,B51,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tropicimonas,,66.5,,AB302379,55.0,10.0,37.0,,,46.0,36.0
Pigmentiphaga daeguensis,414049,K110,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pigmentiphaga,,67.4,,EF100696,55.5,15.0,37.0,,,46.0,31.0
Oceanobacillus chironomi,381706,T3944D,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,,38.1,,DQ298074,53.4,12.0,37.0,,,46.0,34.0
Aeriscardovia aeriphila,218139,T6,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Aeriscardovia,,54.7,,NR_042759,60.3,30.0,37.0,,,46.0,16.0
Turicibacter sanguinis,154288,MOL361,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,,36.9,,AF349724,53.3,25.0,37.0,,,46.0,21.0
Salinicoccus alkaliphilus,148453,T8,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,,49.6,,AF275710,56.1,10.0,32.0,,,46.0,36.0
Paenibacillus aquistagni,1852522,11,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,47.5,,LT576422,54.1,10.0,30.0,,,46.0,36.0
Methanobacterium veterum,408577,MK4,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,33.8,,EF016285,55.4,10.0,28.0,,,46.0,36.0
Clostridium cavendishii,349931,BL-28,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,28.5,,DQ196621,53.2,15.0,41.5,37.0,46.0,46.0,31.0
Sulfurifustis variabilis,1675686,skN76,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,GCA_002355415.1,67.5,4.0,LC062790,56.6,28.0,43.5,42.0,45.0,46.0,18.0
Idiomarina baltica,190892,OS145,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,49.7,,AJ440214,54.1,8.0,32.0,20.0,44.0,46.0,38.0
Bifidobacterium lemurum,1603886,LMC 13 ,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,57.2,,KJ658281,59.4,35.0,39.5,37.0,42.0,46.0,11.0
Proteiniclasticum ruminis,398199,D3RC-2,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Proteiniclasticum,,41.0,,DQ852338,53.6,24.0,38.5,38.0,39.0,46.0,22.0
Hydrogenophaga bisanensis,439611,K102,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,,64.8,,EF532793,55.7,15.0,33.5,30.0,37.0,46.0,31.0
Marinobacter litoralis,187981,SW-45,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,55.0,,AF479689,55.1,4.0,33.5,30.0,37.0,46.0,42.0
Cognatiyoonia sediminum,1508389,S3B03,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cognatiyoonia,,57.6,,KJ620985,54.9,10.0,30.0,28.0,32.0,46.0,36.0
Pseudobacteroides cellulosolvens,35825,WM2,Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Pseudobacteroides,,43.0,,L35517,52.0,20.0,42.0,,,45.5,25.5
Blastococcus litoris,2171622,GP-S2-8,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,,74.2,,MH128378,58.8,4.0,32.5,28.0,37.0,45.0,41.0
Chitinophaga parva,2169414,LY-1,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,,52.4,,MG871256,51.2,20.0,32.5,30.0,35.0,45.0,25.0
Euzebya rosea,2052804,DSW09,Bacteria,Actinobacteria,Nitriliruptoria,Euzebyales,Euzebyaceae,Euzebya,,71.3,,KY038374,56.9,15.0,27.5,25.0,30.0,45.0,30.0
Haloquadratum walsbyi,293091,C23,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,GCA_000237865.1,47.7,3.3,AY676200,56.8,25.0,45.0,,,45.0,20.0
Halonotius pteroides,268735,1.15.5,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,,58.0,,AY498641,56.9,25.0,45.0,,,45.0,20.0
Methanobacterium aarhusense,256826,H2-LR,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,34.9,,AY386124,56.3,15.0,45.0,,,45.0,30.0
Haloarcula japonica,29282,TR-1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,63.3,,D28872,54.3,24.0,45.0,,,45.0,21.0
Caproiciproducens galactitolivorans,642589,BS-1 ,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Caproiciproducens,,50.0,,FJ805840,54.1,35.0,45.0,,,45.0,10.0
Thalassospira tepidiphila,393657,1-1B,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,,55.1,,AB265822,54.5,8.0,43.0,,,45.0,37.0
Halosimplex rubrum,869889,R27,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halosimplex,,64.0,,HM159603,58.0,25.0,42.0,,,45.0,20.0
Halosimplex pelagicum,869886,R2,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halosimplex,,62.5,,HM159602,58.7,25.0,42.0,,,45.0,20.0
Desulfotomaculum aquiferis,1397668,Bs105,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,,42.9,,KF591693,53.8,30.0,42.0,,,45.0,15.0
Ornithinibacillus bavariensis,545502,WSBC 24001 ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Ornithinibacillus,,36.4,,Y13066,54.7,15.0,42.0,,,45.0,30.0
Mycobacterium heckeshornense,110505,DSM 44428,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,,,AF174290,58.9,37.0,42.0,,,45.0,8.0
Halanaerobium congolense,54121,SEBR 4224,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,,34.0,,U76632,51.8,20.0,42.0,,,45.0,25.0
Dethiosulfovibrio peptidovorans,47055,SEBR 4207,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Dethiosulfovibrio,,56.0,,U52817,56.9,20.0,42.0,,,45.0,25.0
Halorubrum glutamatedens,2707018,ZY8,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,66.7,,MG097855,58.7,20.0,42.0,,,45.0,25.0
Methanobacterium formicicum,2162,MF,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,GCA_000762265.1,41.3,2.4,AF169245,55.7,37.0,41.0,,,45.0,8.0
Microvirga lotononidis,864069,WSM3557,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,,62.9,,HM362432,57.5,15.0,41.0,,,45.0,30.0
Natrinema soli,1930624,5月3日,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,,61.5,,KY381123,57.5,25.0,40.0,,,45.0,20.0
Methanobacterium aggregans,1615586,E09F.3,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,39.1,,KP006499,56.3,25.0,40.0,,,45.0,20.0
Natronomonas gomsonensis,1046043,SA3,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,,63.4,,JF950943,57.7,20.0,40.0,,,45.0,25.0
Methanobacterium ferruginis,710191,Mic6c05 ,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,37.6,,AB542743,56.4,20.0,40.0,,,45.0,25.0
Methanobacterium kanagiense,483896,169,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,39.3,,AB368917,56.3,15.0,40.0,,,45.0,30.0
Haladaptatus paucihalophilus,367189,DX253,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,,60.5,,DQ344973,57.1,25.0,40.0,,,45.0,20.0
Methanoculleus bourgensis,83986,MS2,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,GCA_000304355.2,60.6,2.8,AF095269,55.0,37.0,40.0,,,45.0,8.0
Methanobacterium uliginosum,83983,P2St,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,29.4,,NR_104694,55.4,15.0,40.0,,,45.0,30.0
Haloarcula vallismortis,28442,J.F. 54,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,64.7,,NR_044336,57.4,20.0,40.0,,,45.0,25.0
Methanosarcina mazei,2209,S-6,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,GCA_000007065.1,41.5,4.1,AJ012095,56.9,20.0,40.0,,,45.0,25.0
Methanomicrobium mobile,2205,BP,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanomicrobium,,48.8,,M59142,53.0,30.0,40.0,,,45.0,15.0
Halomonas endophytica,2033802,MC28,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,,,MF850257,56.9,10.0,40.0,,,45.0,35.0
Marinicauda algicola,2029849,RMAR8-3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Marinicauda,,66.3,,KY200669,57.2,15.0,40.0,,,45.0,30.0
Rhodosalinus sediminis,1940533,WDN1C137,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodosalinus,,70.9,,KX815123,58.5,20.0,40.0,,,45.0,25.0
Rhodoplanes tepidicaeni,1897629,TUT3542,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,,67.7,,LC178581,57.9,25.0,40.0,,,45.0,20.0
Desulfovibrio salinus,1721088,P1BSR,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,47.7,,KT767983,54.4,15.0,40.0,,,45.0,30.0
Desulfovibrio senegalensis,1721087,BLaC1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,55.8,,KT767981,54.6,15.0,40.0,,,45.0,30.0
Mongoliimonas terrestris,1709001,MIMtkB18,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,Mongoliimonas,,69.6,,KP993300,56.9,20.0,40.0,,,45.0,25.0
Microvirga pakistanensis,1682650,NCCP-1258,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,,64.3,,LC065285,57.1,20.0,40.0,,,45.0,25.0
Alicyclobacillus fodiniaquatilis,1661150,G45-16,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,51.3,,KR090679,57.2,20.0,40.0,,,45.0,25.0
Aminobacterium thunnarium,1482737,OTA 102 ,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminobacterium,,41.7,,KJ159211,56.0,30.0,40.0,,,45.0,15.0
Terrisporobacter petrolearius,1460447,LAM0A37,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,,27.1,,KJ000015,52.5,15.0,40.0,,,45.0,30.0
Geosporobacter ferrireducens,1424294,IRF9,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Geosporobacter,GCA_001750685.1,38.6,5.8,KF601937,55.5,25.0,40.0,,,45.0,20.0
Anaerosolibacter carboniphilus,1417629,IRF19,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Anaerosolibacter,,37.4,,KF601947,54.7,20.0,40.0,,,45.0,25.0
Oscillibacter ruminantium,1263547,GH1,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,,54.6,,JF750939,53.4,30.0,40.0,,,45.0,15.0
Deinococcus metallilatus,1211322,MA1002,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,70.5,,JX089329,59.0,20.0,40.0,,,45.0,25.0
Plasticicumulans lactativorans,1133106,YD,Bacteria,Proteobacteria,Gammaproteobacteria,,Candidatus Competibacteraceae,Plasticicumulans,,68.5,,JN565849,56.6,20.0,40.0,,,45.0,25.0
Fuchsiella alkaliacetigena,957042,Z-7100,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Fuchsiella,,32.0,,HQ828140,52.2,25.0,40.0,,,45.0,20.0
Bacillus halosaccharovorans,930124,E33,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,42.6,,HQ433447,54.4,20.0,40.0,,,45.0,25.0
Thalassobacillus cyri,571932,HS286,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Thalassobacillus,,43.0,,FM864226,55.4,5.0,40.0,,,45.0,40.0
Alteribacillus persepolensis,568899,HS136,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alteribacillus,,37.1,,FM244839,55.8,25.0,40.0,,,45.0,20.0
